PSG7	0.087026543	-3.522400698		PSG7	-4.023680307	3.196625004	7.92E-10	4.88E-08	3.571727629	41.16957878	3.71134387	24.24763774	7.452170789	4.285301938	1.387194071	0.510009051	2.014207583	0.99372404	0.716528687
TFPI2	0.159293679	-2.650239074		TFPI2	-2.922250652	7.898381605	2.59E-07	6.26E-06	390.884803	143.178283	190.4966911	129.7077769	1282.202952	107.0790115	73.45703797	53.63558129	115.2941524	28.97614136	25.93715064
GH2	0.160218463	-2.641887689		GH2	-2.96630703	4.11670185	3.94E-07	8.85E-06	23.9717649	13.99803694	22.44291525	18.52753224	62.4790567	17.10502135	3.635547543	2.462673697	12.01150026	0.415176296	2.073114359
PSG11	0.219318759	-2.188898879		PSG11	-2.487808369	5.674682409	1.59E-07	4.16E-06	81.63156062	38.38166765	58.36126767	52.68972698	200.0364005	23.31242182	17.18258968	14.52145057	34.53715456	5.064194491	11.26507237
PSG1	0.221603132	-2.173949825		PSG1	-2.456290575	6.61862552	0.000383215	0.002814481	174.2479048	32.41618866	117.8615364	47.22036648	411.1077647	87.49796945	40.40647174	15.45310673	91.1302854	2.286407261	10.88360298
PSG9	0.227282016	-2.137444561		PSG9	-2.424889886	5.813476071	0.001185833	0.007078377	3.195534411	53.58496988	175.7641996	48.79803818	130.4330346	84.52614746	33.65006951	4.451039451	47.72774309	2.189761642	5.461438306
PLAC1	0.255848611	-1.966637696		PLAC1	-2.371427727	2.556035308	2.38E-10	1.78E-08	6.484378231	5.723791037	7.196650837	5.766659109	16.69502261	8.461363336	2.289279944	1.776225295	3.796511425	1.256031397	1.157025632
PSG6	0.257725376	-1.956093498		PSG6	-2.269579166	5.076929236	3.94E-06	6.06E-05	48.46513311	30.34570224	39.08616253	24.90639948	117.1365628	30.83400145	14.25642423	10.94041385	28.23921171	2.141673455	6.381284985
FRZB	0.314705256	-1.667926821		FRZB	-2.047126495	3.506697533	1.13E-08	4.36E-07	11.24859343	10.04597369	21.49123907	10.32440207	24.45350896	16.20855	6.173648706	3.308194177	8.629706958	4.298285339	1.77092137
PSG5	0.34468389	-1.536654226		PSG5	-1.928910766	7.385311524	2.35E-14	8.33E-12	310.6872838	173.5389916	217.0212292	180.4902354	290.0997095	160.1229615	73.82839986	113.2359151	73.95438107	53.21059231	68.24213194
PSG4	0.398696704	-1.326636415		PSG4	-1.668290342	6.652905954	0.002650423	0.013649008	5.797627138	186.2192896	199.4608325	112.286743	128.7944299	155.3718643	70.0285799	30.47620601	110.2550486	22.05523271	28.66010157
HOPX	0.43126929	-1.213339106		HOPX	-1.538624807	3.146898654	0.001042017	0.006369318	10.87900369	8.85508163	8.489380362	5.692124569	30.87293978	5.377852518	5.141336985	4.883978611	10.64025476	2.73558347	1.411612509
ADAM12	0.458682117	-1.124433434		ADAM12	-1.515292209	10.77570377	6.70E-13	1.25E-10	2600.178992	2000.499041	1835.470003	2093.526701	2733.638191	1891.265403	903.0469221	836.7711494	1147.18621	1002.531585	1141.856851
KISS1	0.494879879	-1.01484971		KISS1	-1.389786277	4.232201045	0.054381781	0.145983722	46.5868735	23.46218058	11.35758053	11.13618063	30.41986501	13.13677024	9.648945961	2.481496398	41.28566105	1.283641961	0.998288813
FLT1	0.621337794	-0.686550283		FLT1	-1.084045203	12.3430195	7.49E-06	0.000103739	6495.708419	6448.258328	6591.369375	7048.336822	4187.262292	5032.885925	4248.239777	3739.228697	4670.59401	2441.694864	3451.15613
ENG	0.637806228	-0.648809911		ENG	-1.069932839	9.336223827	2.05E-05	0.000239581	1025.072777	663.0136561	586.8078272	735.8602868	563.9018828	808.4541939	537.8049174	338.425555	572.9559188	430.2773871	451.643318
ALPP	0.661536637	-0.596107038		ALPP	-0.905630653	4.816930658	0.033952665	0.102678402	6.9433987	12.29299942	38.68644838	16.55691216	83.54708659	41.77708169	25.35190299	28.20578374	17.61393599	12.86990108	25.90677154
STEAP4	0.692491457	-0.530131821		STEAP4	-0.881288808	3.145990035	0.039244886	0.114971251	14.08300969	8.793529535	5.913885335	4.107845979	21.83631722	5.658686506	11.22376246	4.854466382	11.35161751	3.325137217	3.862315575
PLAC4	0.74609698	-0.422564927		PLAC4	-0.780621012	4.673396245	0.047088837	0.1315644	20.49438405	10.46665877	17.97926604	12.33333341	63.469305	45.37253111	28.4086668	13.95389475	30.88549587	18.33823422	13.97528065
PGF	0.759478412	-0.396919139		PGF	-0.788777566	7.905263161	0.001740276	0.00974057	335.6154776	275.9810094	193.336587	227.4116505	323.6185182	206.998587	210.7280562	179.7521865	307.2379454	164.018213	127.8573673
GPC3	0.885659933	-0.175175242		GPC3	-0.543702303	6.61195574	0.034688236	0.104427183	113.738553	64.29247167	164.513268	69.41196328	146.5000352	59.09097956	96.0041841	118.479457	89.63991491	91.33644367	60.54048888
ENDOU	0.895835444	-0.158694348		ENDOU	-0.527674511	2.112132164	0.195939823	0.37397616	6.439994931	2.814422345	4.507462367	3.576465887	7.623548757	2.013716697	4.475830535	6.114418662	5.953929965	1.708940139	1.768461378
SEMA3B	1.183844934	0.243480122		SEMA3B	-0.130323369	5.927400425	0.559442547	0.731973287	49.6987556	54.02412413	76.45342594	42.0710819	71.84242237	45.86453326	89.95913784	84.02102678	67.1794431	52.6540443	41.80886731
CRH	1.196141663	0.258388263		CRH	-0.087404385	2.490158271	0.899246505	0.952785711	9.108161	2.19434522	4.212300309	5.766546656	7.900954126	1.546139801	9.466371076	3.7159868	15.62705539	0.521873854	1.30178013
MUC1	1.236296916	0.30602527		MUC19	1.89087355	0.171911514	1.22E-05	0.000154157	0.316483115	0.374064636	0.224097608	0.262503311	0.470857243	0.874741428	0.875307915	2.553638912	1.467591396	4.163227451	1.699582364
TPPP3	1.83926864	0.879132213		TPPP3	0.502932493	3.344436449	0.189846832	0.365729407	6.546843277	5.752145849	9.165722164	6.849854871	7.715604365	9.040093487	17.68300822	19.30077729	23.76830451	5.006661562	3.655489341
INHBA	2.106672974	1.074966377		INHBA	0.757782161	4.70629984	0.030803797	0.095520548	16.7710021	16.01003377	14.49444025	10.22516471	39.56708208	11.71952476	45.32685767	40.15631794	62.42704619	11.51945289	32.01466646
CYP19A1	2.122910428	1.086043501		CYP19A1	0.760036676	7.851386646	0.0267648	0.085675415	125.7958986	123.331731	168.0814485	100.2154861	359.3472432	94.49364369	488.160438	238.0273098	547.6086711	331.0915148	114.4260712
MAN1C1	2.342422919	1.228001575		MAN1C1	0.872232723	5.213235959	0.000425329	0.003072068	13.4311222	17.30604408	28.65237394	24.51245163	45.93288826	18.08177424	63.61807557	49.38748404	42.2384137	90.67403862	43.67397919
RORA	4.555506946	2.187611609		RORA	1.840580784	2.821757176	2.81E-12	4.17E-10	1.356600152	2.895402132	2.952386925	3.028320546	4.07534407	3.09883511	12.98705682	15.70614336	9.608646234	16.94701926	12.59688338
